dance,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
643,268,-15.073,0.09,593,2.06e-06,316,0.62,143.813,1
484,898,-4.132,164,365,0.0,91,0.68,91.975,1
608,638,-6.008,292,581,172,448,439,140.109,1
695,293,-16.278,431,596,158,132,637,143.804,1
583,308,-18.303,465,581,106,257,241,118.226,1
643,268,-15.073,0.09,593,2.06e-06,316,0.62,143.813,1
642,562,-9.304,607,584,0.0,104,671,149.82,1
0.23,206,-13.594,348,965,856,0.17,134,139.114,1
496,186,-19.857,418,992,944,0.11,585,79.334,1
355,215,-18.632,465,987,957,331,0.65,80.606,1
372,273,-33.32,409,993,924,81,157,115.872,1
175,578,-20.568,422,913,895,906,395,68.005,1
634,124,-19.991,113,989,944,121,769,81.842,1
769,846,-25.997,45,922,929,113,586,176.329,1
278,123,-23.707,422,993,739,355,511,78.59,1
372,413,-31.531,339,995,845,129,445,170.196,1
175,0.12,-22.495,452,988,456,177,717,64.424,1
499,59,-20.969,546,995,0.89,889,171,82.472,1
349,139,-19.982,347,992,898,113,342,134.946,1
177,601,-21.942,405,987,894,687,543,81.807,1
403,196,-20.749,49,993,884,113,548,99.506,1
233,113,-15.57,418,994,873,102,718,71.781,1
478,311,-13.227,357,899,107,255,667,121.83,1
389,212,-16.434,359,961,914,983,339,77.016,1
314,401,-29.715,583,994,903,983,386,170.693,1
499,59,-20.969,546,995,0.89,889,171,82.472,1
343,243,-15.404,578,943,0.0,532,417,73.48,1
548,216,-9.873,354,995,954,845,204,62.857,1
261,201,-25.726,39,0.99,895,108,913,139.811,1
548,216,-9.873,354,995,954,845,204,62.857,1
923,744,-23.757,479,651,237,168,823,175.873,1
522,215,-21.148,655,992,912,971,934,103.767,1
232,142,-24.701,308,996,867,133,255,95.139,1
499,59,-20.969,546,995,0.89,889,171,82.472,1
965,0.2,-16.97,393,967,958,169,238,78.351,1
233,113,-15.57,418,994,873,102,718,71.781,1
169,49,-23.409,385,956,17,0.15,799,136.065,1
145,135,-16.841,429,978,971,323,535,77.975,1
129,169,-19.892,408,916,942,124,541,52.153,1
158,972,-32.888,463,949,137,955,572,138.062,1
513,296,-15.81,496,0.99,803,158,804,84.367,1
499,59,-20.969,546,995,0.89,889,171,82.472,1
145,135,-16.841,429,978,971,323,535,77.975,1
164,167,-17.032,44,594,368,224,154,87.069,1
275,658,-21.914,496,972,911,943,511,92.692,1
158,972,-32.888,463,949,137,955,572,138.062,1
232,142,-24.701,308,996,867,133,255,95.139,1
499,327,-16.66,382,937,161,131,0.43,134.882,1
138,173,-17.603,371,955,928,161,159,100.657,1
