genre,dance,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,liveness,key,mode
pop,0.521,0.592,-7.777,0.0304,0.308,0,0.535,157.969,0.122,6,0
pop,0.747,0.507,-10.171,0.0358,0.2,0.0608,0.438,104.978,0.117,2,1
pop,0.7,0.582,-5.96,0.0356,0.0502,0,0.785,116.712,0.0881,11,0
pop,0.674,0.907,-4.086,0.064,0.101,0,0.721,112.964,0.297,3,1
pop,0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.57,119.973,0.111,11,0
pop,0.494,0.413,-10.432,0.0254,0.682,6.72e-05,0.273,94.938,0.193,11,1
pop,0.739,0.727,-5.968,0.0426,0.0678,0,0.676,94.99,0.104,11,0
pop,0.742,0.757,-4.981,0.0421,0.0187,0,0.957,139.982,0.305,6,1
pop,0.467,0.247,-12.002,0.0431,0.612,0.000271,0.126,148.101,0.17,6,0
pop,0.61,0.65,-6.199,0.0474,0.399,0,0.507,106.719,0.11,6,1
pop,0.664,0.5,-6.935,0.0651,0.799,0,0.801,117.896,0.0966,9,1
pop,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.398,124.053,0.101,10,1
pop,0.66,0.756,-3.743,0.032,0.00289,0,0.838,116.034,0.193,0,0
pop,0.633,0.725,-4.257,0.0427,0.0461,0,0.64,130.504,0.205,5,1
pop,0.758,0.759,-5.315,0.0479,0.329,3.96e-06,0.732,126.012,0.144,5,1
pop,0.657,0.82,-4.448,0.0441,0.0176,0,0.709,124.041,0.0847,9,1
pop,0.701,0.76,-5.478,0.0285,0.107,6.54e-05,0.69,103.969,0.185,0,1
pop,0.644,0.874,-4.723,0.0265,0.0113,0,0.753,128.017,0.227,0,1
pop,0.699,0.776,-5.282,0.0293,0.131,5.36e-06,0.708,103.963,0.205,0,1
pop,0.432,0.583,-4.682,0.0687,0.174,0,0.544,181.489,0.0933,8,1
pop,0.722,0.709,-4.95,0.0273,0.0633,0,0.604,81.012,0.0804,9,1
pop,0.669,0.586,-6.073,0.054,0.274,0,0.579,107.071,0.104,9,1
pop,0.472,0.471,-5.692,0.0603,0.151,0,0.219,105.029,0.14,10,1
pop,0.669,0.561,-6.538,0.0411,0.495,0.00962,0.841,150.069,0.0954,10,1
pop,0.675,0.586,-6.086,0.0531,0.257,0,0.621,107.015,0.104,9,1
pop,0.638,0.855,-4.86,0.0264,0.00757,0,0.731,127.986,0.245,7,1
