dance,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
535,548,1,-6.51,37,533,1.48e-06,123,477,115.144,3,1
713,639,2,-5.529,313,753,0.0,878,737,125.959,4,1
484,898,0,-4.132,164,365,0.0,91,0.68,91.975,4,1
669,509,9,-8.594,277,493,268,804,376,114.969,4,1
535,547,1,-6.51,37,533,1.49e-06,123,477,115.146,3,1
649,466,7,-8.308,428,865,0.0,882,699,151.251,4,1
644,427,9,-9.196,391,778,9.51e-05,136,577,116.042,4,1
649,466,7,-8.308,428,865,0.0,882,699,151.251,4,1
0.36,381,1,-8.666,488,0.59,5.1e-05,846,346,198.154,3,1
492,791,11,-5.045,703,816,1.87e-05,0.11,585,144.363,4,1
492,791,11,-5.045,703,816,1.87e-05,0.11,585,144.363,4,1
335,232,4,-11.042,334,908,8.89e-06,292,381,93.391,3,1
693,257,6,-7.785,356,869,0.0,0.11,603,90.014,4,1
335,232,4,-11.042,334,908,8.89e-06,292,381,93.391,3,1
335,232,4,-11.042,334,908,8.89e-06,292,381,93.391,3,1
335,232,4,-11.042,334,908,8.89e-06,292,381,93.391,3,1
354,126,0,-13.818,323,0.87,0.0,151,0.17,80.567,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
536,163,0,-10.566,349,695,239,126,233,66.72,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
461,825,3,-12.457,474,984,3.06e-05,704,194,104.138,3,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
475,347,5,-6.538,213,776,12,113,285,175.2,3,1
536,163,0,-10.566,349,695,239,126,233,66.72,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
0.46,414,10,-17.252,414,978,35,108,56,80.349,3,1
414,131,4,-12.817,347,934,7.88e-05,0.11,112,143.778,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
497,374,10,-6.941,28,751,5.82e-05,118,235,66.785,4,1
473,68,0,-20.033,315,892,216,105,262,93.777,3,1
473,68,0,-20.033,315,892,216,105,262,93.777,3,1
473,68,0,-20.033,315,892,216,105,262,93.777,3,1
473,68,0,-20.033,315,892,216,105,262,93.777,3,1
399,258,5,-16.028,33,792,1.86e-06,128,192,108.174,3,1
715,743,6,-7.491,337,339,217,983,259,116.962,4,1
471,845,10,-20.204,305,956,147,825,149,84.608,3,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
409,0.71,6,-6.215,398,0.15,285,171,376,107.566,4,1
573,265,0,-12.436,27,903,152,94,425,74.031,4,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
414,131,4,-12.817,347,934,7.88e-05,0.11,112,143.778,4,1
409,0.71,6,-6.215,398,0.15,285,171,376,107.566,4,1
568,505,0,-8.041,128,676,1.67e-05,516,692,149.439,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
525,205,0,-12.519,457,0.84,213,114,207,183.468,4,1
409,0.71,6,-6.215,398,0.15,285,171,376,107.566,4,1
414,131,4,-12.817,347,934,7.88e-05,0.11,112,143.778,4,1
543,0.36,7,-9.177,179,727,0.0,228,595,149.431,4,1
431,215,1,-11.471,523,777,0.0,179,401,77.108,4,1
543,0.36,7,-9.177,179,727,0.0,228,595,149.431,4,1
431,215,1,-11.471,523,777,0.0,179,401,77.108,4,1
686,351,7,-10.44,122,0.91,2.22e-05,509,683,74.827,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
543,0.36,7,-9.177,179,727,0.0,228,595,149.431,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
688,166,7,-8.731,697,819,0.0,126,336,88.325,4,1
409,0.71,6,-6.215,398,0.15,285,171,376,107.566,4,1
464,356,5,-6.953,0.03,708,7.76e-05,108,265,66.377,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
414,131,4,-12.817,347,934,7.88e-05,0.11,112,143.778,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
0.43,543,8,-6.296,367,463,523,928,354,143.912,4,1
614,699,6,-6.238,315,0.14,252,115,431,107.552,4,1
388,378,0,-16.173,45,979,21,947,205,166.882,3,1
614,699,6,-6.238,315,0.14,252,115,431,107.552,4,1
